EXTENSION,COUNT OF FILES
gitattributes,1
gitignore,1
md,3
sln,1
git\config,1
git\description,1
git\HEAD,1
git\index,1
xml,50
git\packed-refs,1
sample,13
git\info\exclude,1
git\logs\HEAD,1
git\logs\refs\heads\dotnet6,1
git\logs\refs\heads\master,1
git\logs\refs\remotes\origin\HEAD,1
idx,1
pack,1
git\refs\heads\dotnet6,1
git\refs\heads\master,1
git\refs\remotes\origin\HEAD,1
config,6
vsidx,1
lock,1
suo,1
p7s,16
nupkg,16
png,8
txt,6
dll,217
transform,1
csv,1
csproj,1
user,1
cs,10
pdb,2
cache,3
CopyComplete,1
